id,name,description,order,color
,신규,처음 시스템에 등록된 리드,1,#3498db
,접촉중,연락을 시도하는 단계,2,#f39c12
,관심있음,제품이나 서비스에 관심을 표현,3,#2ecc71
,세미나참석예정,세미나/교육 참석 예정,4,#9b59b6
,샘플제공,제품 샘플 제공 단계,5,#1abc9c
,견적제공,견적서 제공 및 검토 단계,6,#e67e22
,협상중,가격이나 조건에 대한 협상 진행 중,7,#34495e
,계약검토,계약 조건 검토 단계,8,#16a085
,고객전환,실제 고객으로 전환 완료,9,#27ae60
,구매보류,일시적으로 구매 결정 보류,10,#f1c40f
,재컨택필요,추가적인 연락이 필요한 상태,11,#e74c3c
,세미나참석완료,세미나에 참석 완료,12,#8e44ad
,비활성,더 이상 관심을 보이지 않음,13,#7f8c8d
,거절,제안이나 제품을 명시적으로 거절,14,#c0392b
,경쟁사선택,경쟁사 제품을 선택함,15,#d35400