id,name,owner_name,address,phone,email,business_number,status,manager_id,region_id,created_at,updated_at
,건강한 아름다움 휴,김은형,,,,,,,active,,
,킴웰니스,김지수,,,,,,,active,,
,김지영피부관리실,김지영,,,,,,,active,,
,마루에스테틱,강진성,,,,,,,active,,
,영주에스테틱,천영주,,,,,,,active,,
,유엔힐링스킨케어,윤하빈,,,,,,,active,,
,르클레어,박송이,,,,,,,active,,
,힙티크,송영은,,,,,,,active,,
,마음에점을찍다,여지윤,,,,,,,active,,
,이끌림 바디 엔 케어,김경희,,,,,,,active,,
,르영 에스테틱,박상희,,,,,,,active,,
,러버블라운지,조윤진,,,,,,,active,,
,미올 뷰티,장설,,,,,,,active,,
,어본에스테,이미나,,,,,,,active,,
,청춘에스테틱,안혜성,,,,,,,active,,
,빈에스테틱,조정빈,,,,,,,active,,
,꽁쌤 에스테틱,이선경,,,,,,,active,,
,나미살롱,김남희,,,,,,,active,,
,더나인,윤유지,,,,,,,active,,
,아비에 대전,양서우,,,,,,,active,,
,여러분의 얼굴 선생님,박준규,,,,,,,active,,
,어반로지,박라희,,,,,,,active,,
,앙로즈,이은경,,,,,,,active,,
,미스토리,오미라,,,,,,,active,,
,심경희 에스테틱,심경희,,,,,,,active,,
,강다영 에스테틱,강다영,,,,,,,active,,
,사은혁 에스테틱,사은혁,,,,,,,active,,
,김지환 에스테틱,김지환,,,,,,,active,,
,스킨스파,장윤경,,,,,,,active,,
,맑음유 에스테틱,김유진,,,,,,,active,,
,다온뷰티,임수연,,,,,,,active,,
,스킨앤래쉬,이시영,,,,,,,active,,
,메이앤라나,장애림,,,,,,,active,,
,제이에스뮤티,유진실,,,,,,,active,,
,도스킨,김도현,,,,,,,active,,
,고운피부관리,김영미,,,,,,,active,,
,올리바르떼,박숙희,,,,,,,active,,
,미오뷰티,이채영,,,,,,,active,,
,피오나,김서후,,,,,,,active,,
,하린뷰티,레티훼,,,,,,,active,,